MainCardID,EXP,Level,HP,Hit,Crit,Dodge,Resist,Block,Armor,MainHandPhyAttackHigh,MainHandPhyAttackLow,OffHandPhyAttackHigh,OffHandPhyAttackLow,MainHandMagicAttackHigh,MainHandMagicAttackLow,OffHandMagicAttackHigh,OffHandMagicAttackLow,Speed,,,,
0004,250,1,1450,2,15,10,20,0,2230,197,145,0,0,0,0,0,0,75,,,,
0004,300,2,1570,2,17,11,21,0,2341,203,152,0,0,0,0,0,0,78,,,,
0004,400,3,1630,3,19,11,22,0,2470,222,167,0,0,0,0,0,0,81,,,,
0004,600,4,1800,3,21,11,23,0,2579,234,173,0,0,0,0,0,0,84,,,,
0004,800,5,1920,3,22,12,24,0,2710,247,189,0,0,0,0,0,0,88,,,,
0004,1000,6,2015,4,23,12,24,0,2820,251,193,0,0,0,0,0,0,91,,,,
0004,1300,7,2130,4,24,13,25,0,2890,262,205,0,0,0,0,0,0,92,,,,
0004,1500,8,2240,4,27,13,26,0,2950,272,211,0,0,0,0,0,0,95,,,,
0004,1800,9,2400,5,29,14,27,0,3050,285,219,0,0,0,0,0,0,97,,,,
0004,2100,10,2510,5,30,14,28,0,3120,289,225,0,0,0,0,0,0,99,,,,
0004,2300,11,2625,5,32,15,29,0,3190,298,234,0,0,0,0,0,0,101,,,,
0004,2700,12,2780,5,34,15,30,0,3323,317,245,0,0,0,0,0,0,105,,,,
0004,2900,13,2918,6,36,16,32,0,3430,323,256,0,0,0,0,0,0,108,,,,
0004,3100,14,3045,6,39,17,33,0,3560,337,261,0,0,0,0,0,0,110,,,,
0004,3200,15,3212,7,40,17,34,0,3670,348,278,0,0,0,0,0,0,114,,,,
0004,3500,16,3390,7,42,17,35,0,3740,356,284,0,0,0,0,0,0,117,,,,
0004,3700,17,3450,7,43,18,36,0,3825,362,292,0,0,0,0,0,0,119,,,,
0004,3700,18,3600,7,44,18,36,0,3910,373,300,0,0,0,0,0,0,121,,,,
0004,3800,19,3710,7,46,18,37,0,4030,383,317,0,0,0,0,0,0,123,,,,
0004,4000,20,3800,8,49,19,39,0,4150,399,323,0,0,0,0,0,0,127,,,,
