MainCardID,EXP,Level,HP,Hit,Crit,Dodge,Resist,Block,Armor,MainHandPhyAttackHigh,MainHandPhyAttackLow,OffHandPhyAttackHigh,OffHandPhyAttackLow,MainHandMagicAttackHigh,MainHandMagicAttackLow,OffHandMagicAttackHigh,OffHandMagicAttackLow,Speed,,,,
0001,250,1,1500,2,10,10,20,20,2000,121,103,0,0,0,0,0,0,55,,,,
0001,300,2,1690,2,10,10,22,21,2195,133,109,0,0,0,0,0,0,57,,,,
0001,400,3,1775,2,11,11,23,23,2375,142,117,0,0,0,0,0,0,58,,,,
0001,600,4,1848,3,12,12,24,24,2415,147,123,0,0,0,0,0,0,59,,,,
0001,800,5,1925,3,13,12,24,25,2550,153,130,0,0,0,0,0,0,61,,,,
0001,1000,6,2030,3,14,12,25,26,2640,161,135,0,0,0,0,0,0,63,,,,
0001,1300,7,2112,4,15,13,26,27,2715,167,139,0,0,0,0,0,0,64,,,,
0001,1500,8,2197,4,16,13,27,28,2870,174,142,0,0,0,0,0,0,65,,,,
0001,1800,9,2245,4,17,14,28,29,2915,179,149,0,0,0,0,0,0,66,,,,
0001,2100,10,2350,5,17,14,29,30,3100,185,157,0,0,0,0,0,0,68,,,,
0001,2300,11,2412,5,18,15,10,31,3245,192,161,0,0,0,0,0,0,69,,,,
0001,2700,12,2505,6,19,15,31,32,3370,199,169,0,0,0,0,0,0,71,,,,
0001,2900,13,2598,6,19,15,32,33,3450,204,172,0,0,0,0,0,0,73,,,,
0001,3100,14,2613,6,20,16,33,34,3510,211,177,0,0,0,0,0,0,74,,,,
0001,3200,15,2775,7,21,16,34,35,3650,217,184,0,0,0,0,0,0,75,,,,
0001,3500,16,2872,7,22,17,35,36,3800,223,191,0,0,0,0,0,0,76,,,,
0001,3700,17,2927,7,23,18,36,37,3950,229,196,0,0,0,0,0,0,77,,,,
0001,3700,18,3001,7,24,18,37,38,4025,231,203,0,0,0,0,0,0,79,,,,
0001,3800,19,3095,8,24,19,38,39,4100,237,207,0,0,0,0,0,0,80,,,,
0001,4000,20,3200,8,25,19,39,40,4200,249,212,0,0,0,0,0,0,82,,,,
